,probability,cost,solution,count
178,0.0009765625,19.0,"[0, 0, 1, 1, 1, 0, 0, 0]",2
190,0.0009765625,19.0,"[0, 1, 0, 1, 1, 0, 0, 0]",2
175,0.00146484375,19.0,"[0, 0, 0, 0, 1, 1, 0, 1]",3
223,0.00048828125,19.0,"[0, 1, 1, 1, 0, 0, 0, 0]",1
158,0.001953125,19.0,"[1, 1, 1, 0, 0, 0, 0, 0]",4
114,0.00341796875,19.0,"[0, 1, 0, 0, 1, 1, 0, 0]",7
159,0.001953125,19.0,"[0, 1, 0, 0, 1, 0, 1, 0]",4
199,0.00048828125,19.0,"[0, 0, 1, 0, 1, 0, 1, 0]",1
218,0.00048828125,20.0,"[0, 1, 0, 0, 0, 1, 0, 0]",1
111,0.00341796875,20.0,"[0, 0, 0, 0, 0, 1, 1, 0]",7
143,0.00244140625,20.0,"[0, 0, 0, 1, 0, 1, 0, 0]",5
188,0.0009765625,20.0,"[0, 0, 0, 1, 0, 0, 1, 0]",2
119,0.00341796875,21.0,"[0, 0, 1, 0, 1, 0, 0, 1]",7
123,0.00341796875,21.0,"[0, 0, 1, 0, 1, 1, 0, 0]",7
18,0.01025390625,22.0,"[0, 1, 0, 0, 0, 0, 1, 0]",21
154,0.001953125,22.0,"[0, 0, 1, 1, 0, 0, 0, 0]",4
94,0.00439453125,22.0,"[0, 0, 1, 0, 0, 0, 1, 0]",9
179,0.0009765625,22.0,"[0, 0, 1, 0, 0, 0, 0, 1]",2
217,0.00048828125,22.0,"[1, 0, 1, 0, 0, 0, 0, 0]",1
46,0.0068359375,22.0,"[0, 1, 0, 1, 0, 0, 0, 0]",14
136,0.0029296875,22.0,"[0, 0, 1, 0, 0, 1, 0, 0]",6
166,0.00146484375,22.0,"[1, 0, 0, 0, 1, 0, 0, 0]",3
187,0.0009765625,23.0,"[0, 1, 1, 0, 1, 0, 0, 0]",2
151,0.001953125,24.0,"[0, 0, 0, 0, 1, 0, 0, 1]",4
226,0.00048828125,24.0,"[0, 0, 0, 0, 1, 0, 1, 0]",1
145,0.00244140625,25.0,"[0, 0, 0, 0, 0, 0, 0, 1]",5
130,0.0029296875,25.0,"[1, 0, 0, 0, 0, 0, 0, 0]",6
45,0.00732421875,26.0,"[0, 1, 1, 0, 0, 0, 0, 0]",15
98,0.00390625,26.0,"[0, 1, 0, 0, 1, 0, 0, 0]",8
157,0.001953125,26.0,"[0, 0, 0, 0, 1, 1, 0, 0]",4
202,0.00048828125,27.0,"[0, 0, 0, 1, 0, 0, 0, 0]",1
225,0.00048828125,27.0,"[0, 0, 0, 0, 0, 1, 0, 0]",1
117,0.00341796875,28.0,"[0, 0, 1, 0, 1, 0, 0, 0]",7
11,0.01171875,29.0,"[0, 1, 0, 0, 0, 0, 0, 0]",24
12,0.01171875,31.0,"[0, 0, 1, 0, 0, 0, 0, 0]",24
132,0.0029296875,33.0,"[0, 0, 0, 0, 1, 0, 0, 0]",6
85,0.00439453125,36.0,"[0, 0, 0, 0, 0, 0, 0, 0]",9
